Name,Quantity,Component
"U1",1," Arduino Uno R3"
"S2, S3, S4, S5, S6",5," Pushbutton"
"PIEZO1, PIEZO3, PIEZO2",3," Piezo"
"R1, R2, R3, R4, R5, R6, R7, R8",8,"1 kΩ Resistor"
