Name,Quantity,Component
"U1",1," Arduino Uno R3"
"D1, D4, D7",3,"Red LED"
"R1, R3, R2, R4, R5, R6, R7, R8",8,"330 Ω Resistor"
"S1, S2",2," Pushbutton"
"D3, D5, D8",3,"Yellow LED"
"D2, D6",2,"Green LED"
