Name,Quantity,Component
"U1",1," Arduino Uno R3"
"U2",1,"MCP23008-based, 32 LCD 16 x 2 (I2C)"
"D1",1,"Red LED"
"S1, S2, S3, S4",4," Pushbutton"
"R1, R2, R3, R4, R5, R6",6,"1 kΩ Resistor"
"PIEZO1",1," Piezo"
